Game Number,Game Length
1,127
2,121
3,117
4,91
5,83
6,77
7,74
8,61
9,60
10,57
11,56
12,56
13,55
14,54
15,53
16,52
17,52
18,51
19,51
20,50
21,50
22,47
23,46
24,43
25,42
26,40
27,40
28,39
29,38
30,38
31,38
32,37
33,37
34,37
35,35
36,35
37,34
38,34
39,33
40,33
41,31
42,31
43,31
44,31
45,30
46,29
47,29
48,29
49,29
50,28
51,28
52,28
53,27
54,25
55,25
56,25
57,25
58,25
59,25
60,24
61,24
62,24
63,24
64,24
65,23
66,23
67,22
68,22
69,22
70,21
71,21
72,20
73,20
74,20
75,20
76,19
77,19
78,19
79,18
80,18
81,17
82,16
83,16
84,16
85,15
86,15
87,15
88,14
89,14
90,14
91,12
92,12
93,12
94,12
95,12
96,12
97,12
98,11
99,11
100,8
